2010,score 2010,context link 2010,2011,score 2011,context link 2011,2012,score 2012,context link 2012,2013,score 2013,context link 2013,2014,score 2014,context link 2014,2015,score 2015,context link 2015,2016,score 2016,context link 2016,2017,score 2017,context link 2017,2018,score 2018,context link 2018,2019,score 2019,context link 2019,2020,score 2020,context link 2020,2021,score 2021,context link 2021,2022,score 2022,context link 2022
FAIL,610,https://twitter.com/search?q=(%23FAIL)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,FAIL,387,https://twitter.com/search?q=(%23FAIL)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,HOLLANDE,103,https://twitter.com/search?q=(%23HOLLANDE)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,MARIAGEPOURTOUS,46,https://twitter.com/search?q=(%23MARIAGEPOURTOUS)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,AFP,7,https://twitter.com/search?q=(%23AFP)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,PARIS,315,https://twitter.com/search?q=(%23PARIS)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,PARIS,141,https://twitter.com/search?q=(%23PARIS)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,MACRON,138,https://twitter.com/search?q=(%23MACRON)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,MACRON,143,https://twitter.com/search?q=(%23MACRON)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,GILETSJAUNES,157,https://twitter.com/search?q=(%23GILETSJAUNES)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,COVID19,208,https://twitter.com/search?q=(%23COVID19)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,COVID19,94,https://twitter.com/search?q=(%23COVID19)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,TWITCH,430,https://twitter.com/search?q=(%23TWITCH)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
EMPLOIS,138,https://twitter.com/search?q=(%23EMPLOIS)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,SACHEZLE,197,https://twitter.com/search?q=(%23SACHEZLE)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,FH2012,87,https://twitter.com/search?q=(%23FH2012)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,SS7,36,https://twitter.com/search?q=(%23SS7)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,DIEUDONNÉ,5,https://twitter.com/search?q=(%23DIEUDONNÉ)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,MARÉE,241,https://twitter.com/search?q=(%23MARÉE)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,MARÉE,92,https://twitter.com/search?q=(%23MARÉE)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,FILLON,66,https://twitter.com/search?q=(%23FILLON)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,GILETSJAUNES,49,https://twitter.com/search?q=(%23GILETSJAUNES)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,MACRON,125,https://twitter.com/search?q=(%23MACRON)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,CORONAVIRUS,119,https://twitter.com/search?q=(%23CORONAVIRUS)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,TWITCH,39,https://twitter.com/search?q=(%23TWITCH)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,MACRON,318,https://twitter.com/search?q=(%23MACRON)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
SS4,133,https://twitter.com/search?q=(%23SS4)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,JEUDICONFESSION,185,https://twitter.com/search?q=(%23JEUDICONFESSION)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,SARKOZY,87,https://twitter.com/search?q=(%23SARKOZY)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,SCORPION,34,https://twitter.com/search?q=(%23SCORPION)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,HOLLANDE,4,https://twitter.com/search?q=(%23HOLLANDE)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,FRANCE,130,https://twitter.com/search?q=(%23FRANCE)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,TEAMOL,50,https://twitter.com/search?q=(%23TEAMOL)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,AFP,33,https://twitter.com/search?q=(%23AFP)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,BENALLA,33,https://twitter.com/search?q=(%23BENALLA)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,PARIS,29,https://twitter.com/search?q=(%23PARIS)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,MACRON,90,https://twitter.com/search?q=(%23MACRON)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,PASSSANITAIRE,35,https://twitter.com/search?q=(%23PASSSANITAIRE)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,FRANCE,282,https://twitter.com/search?q=(%23FRANCE)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
JEUDICONFESSION,126,https://twitter.com/search?q=(%23JEUDICONFESSION)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,EMPLOI,169,https://twitter.com/search?q=(%23EMPLOI)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,JEUDICONFESSION,36,https://twitter.com/search?q=(%23JEUDICONFESSION)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,PSG,29,https://twitter.com/search?q=(%23PSG)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,IMMOBILIER,3,https://twitter.com/search?q=(%23IMMOBILIER)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,BOOBA,99,https://twitter.com/search?q=(%23BOOBA)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,PSG,45,https://twitter.com/search?q=(%23PSG)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,PSG,32,https://twitter.com/search?q=(%23PSG)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,FIERSDETREBLEUS,24,https://twitter.com/search?q=(%23FIERSDETREBLEUS)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,CALENDRIERDELAVENTCDISCOUNT,25,https://twitter.com/search?q=(%23CALENDRIERDELAVENTCDISCOUNT)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,CONFINEMENT,44,https://twitter.com/search?q=(%23CONFINEMENT)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,FRANCE,28,https://twitter.com/search?q=(%23FRANCE)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,NUPES,238,https://twitter.com/search?q=(%23NUPES)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
MEDIA,106,https://twitter.com/search?q=(%23MEDIA)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,SS5,145,https://twitter.com/search?q=(%23SS5)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,EMPLOI,31,https://twitter.com/search?q=(%23EMPLOI)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,CANCER,22,https://twitter.com/search?q=(%23CANCER)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,SOLDES,3,https://twitter.com/search?q=(%23SOLDES)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,COP21,28,https://twitter.com/search?q=(%23COP21)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,EURO2016,39,https://twitter.com/search?q=(%23EURO2016)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,PRESIDENTIELLE2017,27,https://twitter.com/search?q=(%23PRESIDENTIELLE2017)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,CALENDRIERDELAVENTCDISCOUNT,21,https://twitter.com/search?q=(%23CALENDRIERDELAVENTCDISCOUNT)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,CANICULE,17,https://twitter.com/search?q=(%23CANICULE)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,PARIS,32,https://twitter.com/search?q=(%23PARIS)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,MACRON,27,https://twitter.com/search?q=(%23MACRON)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,NOWPLAYING,202,https://twitter.com/search?q=(%23NOWPLAYING)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
GLAM,62,https://twitter.com/search?q=(%23GLAM)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,CIV2010,68,https://twitter.com/search?q=(%23CIV2010)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,UMP,31,https://twitter.com/search?q=(%23UMP)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,TPMP,20,https://twitter.com/search?q=(%23TPMP)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,DASSAULT,2,https://twitter.com/search?q=(%23DASSAULT)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,TEAMOM,27,https://twitter.com/search?q=(%23TEAMOM)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,FRANCE,35,https://twitter.com/search?q=(%23FRANCE)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,FIFA18,17,https://twitter.com/search?q=(%23FIFA18)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,CM2018,21,https://twitter.com/search?q=(%23CM2018)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,BENALLA,11,https://twitter.com/search?q=(%23BENALLA)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,RETRAITES,26,https://twitter.com/search?q=(%23RETRAITES)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,CALENDRIERCDISCOUNT,25,https://twitter.com/search?q=(%23CALENDRIERCDISCOUNT)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,PARIS,185,https://twitter.com/search?q=(%23PARIS)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
REGIONALES,61,https://twitter.com/search?q=(%23REGIONALES)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,DSK,64,https://twitter.com/search?q=(%23DSK)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,PSG,27,https://twitter.com/search?q=(%23PSG)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,MANIFPOURTOUS,18,https://twitter.com/search?q=(%23MANIFPOURTOUS)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,BALLONDOR,2,https://twitter.com/search?q=(%23BALLONDOR)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,SS9,20,https://twitter.com/search?q=(%23SS9)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,AFP,29,https://twitter.com/search?q=(%23AFP)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,PS4,16,https://twitter.com/search?q=(%23PS4)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,SOLDES2018,20,https://twitter.com/search?q=(%23SOLDES2018)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,LREM,10,https://twitter.com/search?q=(%23LREM)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,PS5,25,https://twitter.com/search?q=(%23PS5)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,NOWPLAYING,24,https://twitter.com/search?q=(%23NOWPLAYING)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,LEGISLATIVES2022,166,https://twitter.com/search?q=(%23LEGISLATIVES2022)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
RETRAITES,60,https://twitter.com/search?q=(%23RETRAITES)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,FRENCHREVOLUTION,61,https://twitter.com/search?q=(%23FRENCHREVOLUTION)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,AFP,24,https://twitter.com/search?q=(%23AFP)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,HOLLANDE,18,https://twitter.com/search?q=(%23HOLLANDE)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,HAPPYNEWYEAR,1,https://twitter.com/search?q=(%23HAPPYNEWYEAR)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,DALS,11,https://twitter.com/search?q=(%23DALS)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,BOOBA,27,https://twitter.com/search?q=(%23BOOBA)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,TEAMOM,16,https://twitter.com/search?q=(%23TEAMOM)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,PS4PRO,19,https://twitter.com/search?q=(%23PS4PRO)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,ROUEN,9,https://twitter.com/search?q=(%23ROUEN)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,CALENDRIERDELAVENT,25,https://twitter.com/search?q=(%23CALENDRIERDELAVENT)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,TOKYO2020,22,https://twitter.com/search?q=(%23TOKYO2020)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,UKRAINE,163,https://twitter.com/search?q=(%23UKRAINE)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
SACHEZLE,44,https://twitter.com/search?q=(%23SACHEZLE)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,ONPC,60,https://twitter.com/search?q=(%23ONPC)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,FREEMOBILE,24,https://twitter.com/search?q=(%23FREEMOBILE)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,AFP,17,https://twitter.com/search?q=(%23AFP)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,BONNEANNEE,1,https://twitter.com/search?q=(%23BONNEANNEE)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,REMIX,11,https://twitter.com/search?q=(%23REMIX)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,POKEMONGO,26,https://twitter.com/search?q=(%23POKEMONGO)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,LENOËLDECDISCOUNT,15,https://twitter.com/search?q=(%23LENOËLDECDISCOUNT)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,JEPEUXPASJAISOLDES,19,https://twitter.com/search?q=(%23JEPEUXPASJAISOLDES)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,BAC2019,9,https://twitter.com/search?q=(%23BAC2019)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,COVID_19,20,https://twitter.com/search?q=(%23COVID_19)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,JEUXOLYMPIQUES,19,https://twitter.com/search?q=(%23JEUXOLYMPIQUES)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,TEAMOM,131,https://twitter.com/search?q=(%23TEAMOM)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
EMPLOI,43,https://twitter.com/search?q=(%23EMPLOI)%20lang%3Afr%20until%3A2010-12-31%20since%3A2010-01-01&src=typed_query,RUGBY,59,https://twitter.com/search?q=(%23RUGBY)%20lang%3Afr%20until%3A2011-12-31%20since%3A2011-01-01&src=typed_query,JO2012,22,https://twitter.com/search?q=(%23JO2012)%20lang%3Afr%20until%3A2012-12-31%20since%3A2012-01-01&src=typed_query,DIRECTAN,15,https://twitter.com/search?q=(%23DIRECTAN)%20lang%3Afr%20until%3A2013-12-31%20since%3A2013-01-01&src=typed_query,BEJISA,1,https://twitter.com/search?q=(%23BEJISA)%20lang%3Afr%20until%3A2014-12-31%20since%3A2014-01-01&src=typed_query,OFF,10,https://twitter.com/search?q=(%23OFF)%20lang%3Afr%20until%3A2015-12-31%20since%3A2015-01-01&src=typed_query,TEAMOM,25,https://twitter.com/search?q=(%23TEAMOM)%20lang%3Afr%20until%3A2016-12-31%20since%3A2016-01-01&src=typed_query,BOURDINDIRECT,15,https://twitter.com/search?q=(%23BOURDINDIRECT)%20lang%3Afr%20until%3A2017-12-31%20since%3A2017-01-01&src=typed_query,CDISCOUNTDAYS,16,https://twitter.com/search?q=(%23CDISCOUNTDAYS)%20lang%3Afr%20until%3A2018-12-31%20since%3A2018-01-01&src=typed_query,DL1,9,https://twitter.com/search?q=(%23DL1)%20lang%3Afr%20until%3A2019-12-31%20since%3A2019-01-01&src=typed_query,COVIDー19,20,https://twitter.com/search?q=(%23COVIDー19)%20lang%3Afr%20until%3A2020-12-31%20since%3A2020-01-01&src=typed_query,EURO2020,19,https://twitter.com/search?q=(%23EURO2020)%20lang%3Afr%20until%3A2021-12-31%20since%3A2021-01-01&src=typed_query,PRESIDENTIELLE2022,81,https://twitter.com/search?q=(%23PRESIDENTIELLE2022)%20lang%3Afr%20until%3A2022-12-31%20since%3A2022-01-01&src=typed_query
